NAMESPACE     NAME                                 READY   STATUS    RESTARTS   AGE
default       busybox-nginx                        2/2     Running   0          53m
default       pod1                                 1/1     Running   1          43h
default       pod2                                 1/1     Running   0          43h
default       pod3                                 1/1     Running   1          43h
default       pod4                                 1/1     Running   0          23h
default       pod5                                 1/1     Running   0          6m17s
development   pod6                                 1/1     Running   0          57s
kube-system   coredns-558bd4d5db-g627t             1/1     Running   2          7d19h
kube-system   coredns-558bd4d5db-t7s9d             1/1     Running   2          7d19h
kube-system   etcd-kubemaster                      1/1     Running   3          7d19h
kube-system   kube-apiserver-kubemaster            1/1     Running   2          7d19h
kube-system   kube-controller-manager-kubemaster   1/1     Running   2          7d19h
kube-system   kube-proxy-5hkzd                     1/1     Running   1          7d19h
kube-system   kube-proxy-8swhq                     1/1     Running   2          7d19h
kube-system   kube-proxy-zqjdd                     1/1     Running   1          7d19h
kube-system   kube-scheduler-kubemaster            1/1     Running   3          7d19h
kube-system   metrics-server-6468fcbb58-c4f4q      1/1     Running   0          43h
kube-system   weave-net-pvg75                      2/2     Running   5          7d19h
kube-system   weave-net-qj7vj                      2/2     Running   2          7d19h
kube-system   weave-net-x56jz                      2/2     Running   2          7d19h
